course_code,course_name,description,prerequisites,corequisites,credit_hours,semester_offered
MAT111,Mathematics I,"Covers calculus fundamentals including limits, derivatives, and integrals.",No Prerequisites, ,3,Fall
PHY211,Physics II,"Explores mechanics, waves, and thermodynamics, with practical applications.",No Prerequisites,,3,Fall
CSE014,Structured Programming,Teaches fundamental programming concepts using structured programming techniques.,No Prerequisites, ,3,Fall
MAT112,Mathematics II,"Continues from Mathematics I, introducing multivariable calculus and differential equations.",MAT111, ,3,Spring
MAT131,Probability & Statistics I,Introduces probability theory and basic statistics for data analysis.,No Prerequisites, ,3,Spring
CSE015,Object Oriented Programming,"Covers object-oriented programming principles such as classes, inheritance, and polymorphism.",CSE014, ,3,Spring
CSE315,Discrete Mathematics,"Introduces mathematical structures used in computer science, including logic, sets, functions, relations, combinatorics, graphs, and proofs.",No Prerequisites,,3,Spring
MAT212,Linear Algebra,"Covers vector spaces, matrices, determinants, eigenvalues, and linear transformations with applications in computing",No Prerequisites,,3,Fall
MAT231,Probability & Statistics II,"Builds on introductory statistics, covering random variables, distributions, estimation, hypothesis testing, and regression",MAT131,,3,Fall
CSE111,Data Structures,"Covers essential data structures like arrays, stacks, queues, linked lists, and trees.","CSE015, MAT212",,3,Fall
CSE131,Logic Design,"Introduces digital logic fundamentals including logic gates, combinational and sequential circuits, and design using Boolean algebra.",No Prerequisites,,3,Fall
AIE111,Artificial Intelligence,Introduces foundational concepts of artificial intelligence and intelligent agents.,"CSE015, MAT212",,3,Fall
MAT312,Differential Equations,"Focuses on solving first and second-order differential equations and systems, with applications in science and engineering.",MAT112,,3,Spring
CSE132,Computer Architecture & Organization,"Explores processor architecture, memory systems, instruction sets, pipelining, and hardware components",CSE131,,3,Spring
CSE221,Database Systems,"Introduces relational databases, SQL, and data modeling concepts.",CSE111,,3,Spring
CSE281,Image Processing,"Covers techniques for image enhancement, filtering, segmentation, and feature extraction using digital tools.","MAT112,CSE015",,3,Spring
AIE121,Machine Learning,Introduces supervised and unsupervised learning techniques with practical applications.,No Prerequisites,,3,Spring
AIE191,Field Training 1 in AI Science,Hands-on practical experience in AI-related environments to apply foundational knowledge and gain industry exposure.,No Prerequisites,,2,Spring
CSE233,Operating Systems,"Examines OS concepts like processes, threads, memory management, file systems, and scheduling.",CSE111,,3,Fall
CSE251,Software Engineering,"Covers the software development lifecycle, design patterns, requirements analysis, testing, and project management.",CSE015 ,,3,Fall
CSE261,Computer Networks,"Introduces networking concepts, protocols, the OSI model, IP addressing, and data communication techniques.",CSE132,,3,Fall
AIE231,Neural Networks,"Explores the architecture and training of neural networks, including backpropagation and feedforward models.",AIE121,,3,Fall
AIE323,Data Mining,"Focuses on discovering patterns, trends, and relationships in large datasets using classification, clustering, and association rules.",AIE121,,3,Fall
CSE112,Design & Analysis of Algorithms,"Focuses on algorithm design and analysis, including sorting, searching, and optimization.",CSE111,,4,Spring
AIE212,Knowledge-Based Systems,"Introduces rule-based systems, inference engines, and knowledge representation for building expert systems.",AIE111,,3,Spring
AIE213,Optimization Techniques,"Presents optimization methods including linear, nonlinear, and heuristic algorithms used in AI and engineering.",MAT312,,3,Spring
AIE241,Natural Language Processing,"Covers language processing, text classification, and sentiment analysis techniques.",AIE121,,3,Spring
AIE292,Field Training 2 in AI Science,Advanced industry training focused on applying AI tools and techniques to solve real-world problems.,AIE191,,2,Spring
CSE363,Cloud Computing,"Covers cloud service models, virtualization, distributed computing, and deploying applications in cloud environments.",No Prerequisites,,3,Fall
AIE322,Advanced Machine Learning,"Dives into complex ML topics such as ensemble methods, deep learning, reinforcement learning, and unsupervised models.",AIE121,,3,Fall
AIE332,Deep Learning,"Covers neural networks, CNNs, and advanced deep learning models for AI tasks.",AIE231,,3,Fall
AIE493,Graduation Project 1,A project-based course integrating AI knowledge to solve real-world problems.,No Prerequisites,,3,Fall
AIE425,Intelligent Recommender Systems,"Studies collaborative filtering, content-based, and hybrid recommender systems with applications in personalized services.",AIE323,,3,Spring
AIE314,AI-Based Programming,"Focuses on building intelligent systems using AI libraries and tools, with projects involving perception, learning, and reasoning.",AIE212,,3,Spring
AIE494,Graduation Project 2,Final implementation and presentation of a comprehensive AI project demonstrating research and development skills.,AIE493,,3,Spring
CSE211,Web Programming,"Introduces web technologies including HTML, CSS, JavaScript, and server-side scripting for dynamic web development.",CSE015 ,,3,Spring
CSE344,Introduction to Cyber Security,"Covers fundamentals of cybersecurity including cryptography, network security, threat modeling, and security best practices.",No Prerequisites,,3,Spring
CSE487,Mixed & Augmented Reality,"Introduces the principles and technologies behind Mixed Reality (MR) and Augmented Reality (AR), focusing on system design, user interaction, tracking, and development of immersive applications.",No Prerequisites,,3,Spring
CSE464,Internet of things,"Explores IoT architecture, sensors, embedded systems, and communication protocols for smart devices and environments.",CSE261,,3,Fall
